objectid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,display_template,object_location,image_small,image_thumb,image_alt_text,object_transcript
col12_00001,"Summer Reading Program Poster, circa 1978",Meridian Library District,1978,"Poster, created by Madeline Rathjen, used to advertise the Meridian Library Summer Reading Program, circa 1980. While the Meridian Library District continues to hold many public programs, the yearly Summer Reading Program continues to be among its largest events.","Public Libraries, Public Librarians","Meridian, Idaho",,,"Meridian Library District History Center Archives, MLD Box 3, Series 2, Cover",,Image;StillImage,image/jpeg,,"This item is protected by copyright and/or related rights. To request permission for educational, commercial, or other uses, contact the History Center at history@mld.org or 208-888-4451, ext. 1023 for further information. The Meridian Library District is not liable for any violations of the law by users.",,image,/objects/col012_mldimages_00001.jpg,/objects/small/col012_mldimages_00001_sm.jpg,/objects/thumbs/col012_mldimages_00001_th.jpg,,
col12_00002,Inside the Library Building ,Occident Club,1971,"Inside view of the Meridian Free Library building in 1971. The old library building was located at the intersection of Meridian & Idaho.  At this time the library was run by the Occident Club, but in 1974 the Occident Club turned over control of the library to form a library district. For several years following their relinquishing of library control, the Occident Club still held their club meetings in the library. ","Public Libraries, Public Librarians","Meridian, Idaho",,,"Meridian Library District History Center Archives, MLD Box 3 Series 2, Page 01",,Image;StillImage,image/jpeg,,"This item is protected by copyright and/or related rights. To request permission for educational, commercial, or other uses, contact the History Center at history@mld.org or 208-888-4451, ext. 1023 for further information. The Meridian Library District is not liable for any violations of the law by users.",,image,/objects/col012_mldimages_00002.jpg,/objects/small/col012_mldimages_00002_sm.jpg,/objects/thumbs/col012_mldimages_00002_th.jpg,,
col12_00003,Occident Club Building and the Meridian Free Library District Building,Meridian Library District,1974,"Old photo of the library building in 1974 (corner of Meridian and Idaho Streets), the year the Occident Club decided to relinquish control of the library and form a library district. The decision by the club to relinquish control was caused by the rapid population growth. The women of the Occident Club believed the town became too large to continue to serve it on their own. ","Public Libraries, Public Librarians","Meridian, Idaho",,,"Meridian Library District History Center Archives, MLD Box 3 Series 2, Page 01",,Image;StillImage,image/jpeg,,"This item is protected by copyright and/or related rights. To request permission for educational, commercial, or other uses, contact the History Center at history@mld.org or 208-888-4451, ext. 1023 for further information. The Meridian Library District is not liable for any violations of the law by users.",,image,/objects/col012_mldimages_00003.jpg,/objects/small/col012_mldimages_00003_sm.jpg,/objects/thumbs/col012_mldimages_00003_th.jpg,,
col12_00004,School Class Visits the Library,Meridian Library District,1975,Librarian helps welcome a Meridian school class to the library on a field trip. ,"Public Libraries, Public Librarians","Meridian, Idaho",,,"Meridian Library District History Center Archives, MLD Box 3 Series 2, Page 08",,Image;StillImage,image/jpeg,,"This item is protected by copyright and/or related rights. To request permission for educational, commercial, or other uses, contact the History Center at history@mld.org or 208-888-4451, ext. 1023 for further information. The Meridian Library District is not liable for any violations of the law by users.",,image,/objects/col012_mldimages_00004.jpg,/objects/small/col012_mldimages_00004_sm.jpg,/objects/thumbs/col012_mldimages_00004_th.jpg,,
col12_00005,Librarian Grove Koger Talks with School Teacher,Meridian Library District,1975,Librarian Grove Koger talks with a visiting school teacher as his class visits the library on a field trip. ,"Public Libraries, Public Librarians","Meridian, Idaho",,,"Meridian Library District History Center Archives, MLD Box 3 Series 2, Page 08",,Image;StillImage,image/jpeg,,"This item is protected by copyright and/or related rights. To request permission for educational, commercial, or other uses, contact the History Center at history@mld.org or 208-888-4451, ext. 1023 for further information. The Meridian Library District is not liable for any violations of the law by users.",,image,/objects/col012_mldimages_00005.jpg,/objects/small/col012_mldimages_00005_sm.jpg,/objects/thumbs/col012_mldimages_00005_th.jpg,,
col12_00006,School Class Visits the Library,Meridian Library District,1975,Meridian school class takes a field trip to the Meridian Library. ,"Public Libraries, Public Librarians","Meridian, Idaho",,,"Meridian Library District History Center Archives, MLD Box 3 Series 2, Page 08",,Image;StillImage,image/jpeg,,"This item is protected by copyright and/or related rights. To request permission for educational, commercial, or other uses, contact the History Center at history@mld.org or 208-888-4451, ext. 1023 for further information. The Meridian Library District is not liable for any violations of the law by users.",,image,/objects/col012_mldimages_00006.jpg,/objects/small/col012_mldimages_00006_sm.jpg,/objects/thumbs/col012_mldimages_00006_th.jpg,,
col12_00007,New Books Bookshelf,Meridian Library District,1975,"Meridian Library's New Books, Newspapers, and Magazines bookshelf, circa 1975.","Public Libraries, Public Librarians","Meridian, Idaho",,,"Meridian Library District History Center Archives, MLD Box 3 Series 2, Page 09",,Image;StillImage,image/jpeg,,"This item is protected by copyright and/or related rights. To request permission for educational, commercial, or other uses, contact the History Center at history@mld.org or 208-888-4451, ext. 1023 for further information. The Meridian Library District is not liable for any violations of the law by users.",,image,/objects/col012_mldimages_00007.jpg,/objects/small/col012_mldimages_00007_sm.jpg,/objects/thumbs/col012_mldimages_00007_th.jpg,,
col12_00008,Library Employees,Meridian Library District,1975,"Nancy Sage (Meridian Librarian) and Nancy Spear (Clerk-Typist) at work, circa 1975","Public Libraries, Public Librarians","Meridian, Idaho",,,"Meridian Library District History Center Archives, MLD Box 3 Series 2, Page 09",,Image;StillImage,image/jpeg,,"This item is protected by copyright and/or related rights. To request permission for educational, commercial, or other uses, contact the History Center at history@mld.org or 208-888-4451, ext. 1023 for further information. The Meridian Library District is not liable for any violations of the law by users.",,image,/objects/col012_mldimages_00008.jpg,/objects/small/col012_mldimages_00008_sm.jpg,/objects/thumbs/col012_mldimages_00008_th.jpg,,
col12_00009,View inside the Library (Bookshelves),Meridian Library District,1975,Bookhelves in the old library at the intersection of Meridian & Idaho. ,"Public Libraries, Public Librarians","Meridian, Idaho",,,"Meridian Library District History Center Archives, MLD Box 3 Series 2, Page 25",,Image;StillImage,image/jpeg,,"This item is protected by copyright and/or related rights. To request permission for educational, commercial, or other uses, contact the History Center at history@mld.org or 208-888-4451, ext. 1023 for further information. The Meridian Library District is not liable for any violations of the law by users.",,image,/objects/col012_mldimages_00009.jpg,/objects/small/col012_mldimages_00009_sm.jpg,/objects/thumbs/col012_mldimages_00009_th.jpg,,
col12_00010,The Library Gerbils,Meridian Library District,1975,The Library had two gerbils named Dot and Dash. Only one of the gerbils can be seen in the picture. ,"Public Libraries, Public Librarians","Meridian, Idaho",,,"Meridian Library District History Center Archives, MLD Box 3 Series 2, Page 29",,Image;StillImage,image/jpeg,,"This item is protected by copyright and/or related rights. To request permission for educational, commercial, or other uses, contact the History Center at history@mld.org or 208-888-4451, ext. 1023 for further information. The Meridian Library District is not liable for any violations of the law by users.",,image,/objects/col012_mldimages_00010.jpg,/objects/small/col012_mldimages_00010_sm.jpg,/objects/thumbs/col012_mldimages_00010_th.jpg,,
col12_00011,Figaro Helps at the Library Book Sale,Meridian Library District,1976,"Figaro, the Meridian Library Cat, helps out at a book sale. Figaro lived at the library for four years (circa 1976-1980). ","Public Libraries, Public Librarians","Meridian, Idaho",,,"Meridian Library District History Center Archives, MLD Box 3 Series 2, Page 46",,Image;StillImage,image/jpeg,,"This item is protected by copyright and/or related rights. To request permission for educational, commercial, or other uses, contact the History Center at history@mld.org or 208-888-4451, ext. 1023 for further information. The Meridian Library District is not liable for any violations of the law by users.",,image,/objects/col012_mldimages_00011.jpg,/objects/small/col012_mldimages_00011_sm.jpg,/objects/thumbs/col012_mldimages_00011_th.jpg,,
col12_00012,Figaro Watches TV,Meridian Library District,1976,"Figaro, the Meridian Library Cat, watches television. ","Public Libraries, Public Librarians","Meridian, Idaho",,,"Meridian Library District History Center Archives, MLD Box 3 Series 2, Page 48",,Image;StillImage,image/jpeg,,"This item is protected by copyright and/or related rights. To request permission for educational, commercial, or other uses, contact the History Center at history@mld.org or 208-888-4451, ext. 1023 for further information. The Meridian Library District is not liable for any violations of the law by users.",,image,/objects/col012_mldimages_00012.jpg,/objects/small/col012_mldimages_00012_sm.jpg,/objects/thumbs/col012_mldimages_00012_th.jpg,,
col12_00013,Fern Wilson Works at Her Desk,Meridian Library District,1976-11-05,"Fern Wilson hard at work in the library, November 5, 1976.","Public Libraries, Public Librarians","Meridian, Idaho",,,"Meridian Library District History Center Archives, MLD Box 3 Series 2, Page 49",,Image;StillImage,image/jpeg,,"This item is protected by copyright and/or related rights. To request permission for educational, commercial, or other uses, contact the History Center at history@mld.org or 208-888-4451, ext. 1023 for further information. The Meridian Library District is not liable for any violations of the law by users.",,image,/objects/col012_mldimages_00013.jpg,/objects/small/col012_mldimages_00013_sm.jpg,/objects/thumbs/col012_mldimages_00013_th.jpg,,
col12_00014,Children's Section of the Library,Meridian Library District,1976-11-05,The Children's Section of the old library located at Meridian & Idaho streets. ,"Public Libraries, Public Librarians","Meridian, Idaho",,,"Meridian Library District History Center Archives, MLD Box 3 Series 2, Page 49",,Image;StillImage,image/jpeg,,"This item is protected by copyright and/or related rights. To request permission for educational, commercial, or other uses, contact the History Center at history@mld.org or 208-888-4451, ext. 1023 for further information. The Meridian Library District is not liable for any violations of the law by users.",,image,/objects/col012_mldimages_00014.jpg,/objects/small/col012_mldimages_00014_sm.jpg,/objects/thumbs/col012_mldimages_00014_th.jpg,,
